"Pledge Name","Item Name","Type","Melt Value","Store Value","Insurance","Manufacturer","Date"
"STORE","Blade","StoreShip","275","275","[object Object]","Esperia",""
"STORE","Glaive","StoreShip","350","350","[object Object]","Esperia",""
"STORE","Prowler","StoreShip","440","440","[object Object]","Esperia",""
"STORE","Prowler Utility","StoreShip","300","300","[object Object]","Esperia",""
"STORE","Prowler Utility Wikelo Work Special","StoreShip","300","300","[object Object]","Esperia",""
"STORE","Esperia Stinger","StoreShip","315","315","[object Object]","Vanduul",""
"STORE","Talon","StoreShip","115","115","[object Object]","Esperia",""
"STORE","Talon Shrike","StoreShip","115","115","[object Object]","Esperia",""
"STORE","Syulen","StoreShip","70","70","[object Object]","Gatac Manufacture",""
"STORE","MDC","StoreShip","50","50","[object Object]","Greycat Industrial",""
"STORE","MTC","StoreShip","50","50","[object Object]","Greycat Industrial",""
"STORE","ROC","StoreShip","55","55","[object Object]","Greycat Industrial",""
"STORE","ROC-DS","StoreShip","75","75","[object Object]","Greycat Industrial",""
"STORE","STV","StoreShip","40","40","[object Object]","Greycat Industrial",""
"STORE","UTV","StoreShip","40","40","[object Object]","Greycat Industrial",""
"STORE","Shiv","StoreShip","150","150","[object Object]","Grey's Market",""
"STORE","L-21 Wolf","StoreShip","100","100","[object Object]","Kruger Intergalactic",""
"STORE","L-21 Wolf Wikelo Sneak Special","StoreShip","100","100","[object Object]","Kruger Intergalactic",""
"STORE","L-21 Wolf Wikelo War Special","StoreShip","100","100","[object Object]","Kruger Intergalactic",""
"STORE","L-22 Alpha Wolf","StoreShip","120","120","[object Object]","Kruger Intergalactic",""
"STORE","L-22 Alpha Wolf Wikelo War Special","StoreShip","120","120","[object Object]","Kruger Intergalactic",""
"STORE","P-52 Merlin","StoreShip","25","25","[object Object]","Kruger Intergalactic",""
"STORE","P-72 Archimedes","StoreShip","35","35","[object Object]","Kruger Intergalactic",""
"STORE","P-72 Archimedes Emerald","StoreShip","40","40","[object Object]","Kruger Intergalactic",""
"STORE","Fury","StoreShip","55","55","[object Object]","Mirai",""
"STORE","Fury LX","StoreShip","55","55","[object Object]","Mirai",""
"STORE","Fury MX","StoreShip","55","55","[object Object]","Mirai",""
"STORE","Guardian","StoreShip","250","250","[object Object]","Mirai",""
"STORE","Guardian MX","StoreShip","290","290","[object Object]","Mirai",""
"STORE","Guardian MX Wikelo War Special","StoreShip","290","290","[object Object]","Mirai",""
"STORE","Guardian QI","StoreShip","260","260","[object Object]","Mirai",""
"STORE","Guardian QI Wikelo Special","StoreShip","260","260","[object Object]","Mirai",""
"STORE","Guardian Wikelo War Special","StoreShip","250","250","[object Object]","Mirai",""
"STORE","Pulse","StoreShip","30","30","[object Object]","Mirai",""
"STORE","Pulse LX","StoreShip","30","30","[object Object]","Mirai",""
"STORE","Razor","StoreShip","145","145","[object Object]","Mirai",""
"STORE","Razor EX","StoreShip","155","155","[object Object]","Mirai",""
"STORE","Razor LX","StoreShip","150","150","[object Object]","Mirai",""
"STORE","Fortune","StoreShip","175","175","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Fortune Wikelo Special","StoreShip","175","175","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Freelancer","StoreShip","110","110","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Freelancer DUR","StoreShip","135","135","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Freelancer MAX","StoreShip","150","150","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Freelancer MIS","StoreShip","175","175","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Hull A","StoreShip","100","100","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Hull B","StoreShip","280","280","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Hull C","StoreShip","500","500","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Prospector","StoreShip","155","155","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Prospector Wikelo Work Special","StoreShip","155","155","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Reliant Kore","StoreShip","65","65","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Reliant Mako","StoreShip","95","95","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Reliant Sen","StoreShip","85","85","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Reliant Tana","StoreShip","75","75","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Starfarer","StoreShip","300","300","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Starfarer Gemini","StoreShip","340","340","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Starlancer MAX","StoreShip","250","250","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Starlancer MAX Wikelo Work Special","StoreShip","250","250","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Starlancer TAC","StoreShip","375","375","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","Starlancer TAC Wikelo War Special","StoreShip","375","375","[object Object]","Musashi Industrial & Starflight Concern",""
"STORE","100i","StoreShip","50","50","[object Object]","Origin Jumpworks",""
"STORE","125a","StoreShip","60","60","[object Object]","Origin Jumpworks",""
"STORE","135c","StoreShip","65","65","[object Object]","Origin Jumpworks",""
"STORE","300i","StoreShip","60","60","[object Object]","Origin Jumpworks",""
"STORE","315p","StoreShip","65","65","[object Object]","Origin Jumpworks",""
"STORE","325a","StoreShip","70","70","[object Object]","Origin Jumpworks",""
"STORE","350r","StoreShip","125","125","[object Object]","Origin Jumpworks",""
"STORE","400i","StoreShip","250","250","[object Object]","Origin Jumpworks",""
"STORE","600i","StoreShip","475","475","[object Object]","Origin Jumpworks",""
"STORE","600i 2951 BIS","StoreShip","475","475","[object Object]","Origin Jumpworks",""
"STORE","600i Executive Edition","StoreShip","475","475","[object Object]","Origin Jumpworks",""
"STORE","600i Touring","StoreShip","435","435","[object Object]","Origin Jumpworks",""
"STORE","85X Limited","StoreShip","50","50","[object Object]","Origin Jumpworks",""
"STORE","890 Jump","StoreShip","950","950","[object Object]","Origin Jumpworks",""
"STORE","M50 Interceptor","StoreShip","100","100","[object Object]","Origin Jumpworks",""
"STORE","M80","StoreShip","100","100","[object Object]","Origin Jumpworks",""
"STORE","X1","StoreShip","45","45","[object Object]","Origin Jumpworks",""
"STORE","X1 Force","StoreShip","55","55","[object Object]","Origin Jumpworks",""
"STORE","X1 Velocity","StoreShip","50","50","[object Object]","Origin Jumpworks",""
"STORE","Apollo Medivac","StoreShip","290","290","[object Object]","Roberts Space Industries",""
"STORE","Apollo Triage","StoreShip","260","260","[object Object]","Roberts Space Industries",""
"STORE","Apollo Triage Wikelo Sneak Special","StoreShip","260","260","[object Object]","Roberts Space Industries",""
"STORE","Aurora Mk I CL","StoreShip","45","45","[object Object]","Roberts Space Industries",""
"STORE","Aurora Mk I ES","StoreShip","20","20","[object Object]","Roberts Space Industries",""
"STORE","Aurora Mk II","StoreShip","45","45","[object Object]","Roberts Space Industries",""
"STORE","Aurora Mk I LN","StoreShip","40","40","[object Object]","Roberts Space Industries",""
"STORE","Aurora Mk I LX","StoreShip","35","35","[object Object]","Roberts Space Industries",""
"STORE","Aurora Mk I MR","StoreShip","30","30","[object Object]","Roberts Space Industries",""
"STORE","Aurora Mk I SE","StoreShip","60","60","[object Object]","Roberts Space Industries",""
"STORE","Constellation Andromeda","StoreShip","240","240","[object Object]","Roberts Space Industries",""
"STORE","Constellation Aquila","StoreShip","315","315","[object Object]","Roberts Space Industries",""
"STORE","Constellation Phoenix","StoreShip","350","350","[object Object]","Roberts Space Industries",""
